time,sample_weight,e_superba_weight,e_superba_count,t_macrura_weight,t_macrura_count
10/02/1998,107,457,479,0,0
10/02/1998,175,500,462,0,0
15/02/1998,228,318,638,0,0
15/02/1998,218,343,685,0,0
15/02/1998,229,404,640,0,0
15/02/1998,239,364,718,0,0
15/02/1998,363,387,995,0,0
20/02/1998,240,289,577,0,0
20/02/1998,126,126,372,0,0
20/02/1998,253,368,659,0,0
20/02/1998,175,200,447,0,0
20/02/1998,192,397,532,0,0
6/01/1999,154,404,500,0,0
6/01/1999,148,413,436,0,0
6/01/1999,199,379,668,0,0
6/01/1999,180,205,402,0,0
6/01/1999,144,285,435,0,0
11/01/1999,208,398,627,0,0
11/01/1999,139,244,443,0,0
11/01/1999,161,316,433,0,0
11/01/1999,210,340,520,0,0
11/01/1999,139,279,325,0,0
16/01/1999,204,394,614,0,0
16/01/1999,173,573,499,0,0
16/01/1999,197,312,555,30,330
16/01/1999,276,401,618,0,0
16/01/1999,166,336,473,0,0
21/01/1999,206,185,499,70,770
21/01/1999,257,357,731,0,0
21/01/1999,153,343,485,0,0
21/01/1999,159,259,371,0,0
21/01/1999,240,640,447,0,0
26/01/1999,160,310,387,0,0
26/01/1999,249,364,629,0,0
26/01/1999,146,321,355,0,0
26/01/1999,208,358,695,0,0
26/01/1999,225,450,603,0,0
1/02/1999,263,368,510,0,0
1/02/1999,183,393,434,0,0
1/02/1999,318,452,938,0,0
1/02/1999,207,357,553,0,0
1/02/1999,272,442,640,0,0
5/02/1999,204,204,476,0,0
5/02/1999,218,388,544,0,0
5/02/1999,136,241,344,0,0
5/02/1999,138,263,305,0,0
5/02/1999,152,297,335,0,0
11/02/1999,451,501,928,0,0
11/02/1999,258,393,544,0,0
11/02/1999,245,320,481,0,0
11/02/1999,279,469,507,0,0
11/02/1999,181,296,411,0,0
16/02/1999,268,528,536,0,0
16/02/1999,116,116,243,0,0
16/02/1999,149,249,282,0,0
16/02/1999,230,230,512,0,0
16/02/1999,211,261,445,0,0
9/01/2000,189,419,335,0,0
9/01/2000,120,120,208,0,0
9/01/2000,224,274,432,0,0
9/01/2000,199,284,391,0,0
9/01/2000,211,211,420,0,0
13/01/2000,294,294,428,0,0
13/01/2000,129,129,189,0,0
13/01/2000,285,577,549,0,0
13/01/2000,142,245,282,0,0
13/01/2000,245,585,331,0,0
18/01/2000,206,286,287,0,0
18/01/2000,254,454,395,0,0
18/01/2000,153,333,219,0,0
18/01/2000,157,312,348,0,0
18/01/2000,195,315,239,0,0
25/01/2000,208,208,356,0,0
25/01/2000,221,221,418,0,0
25/01/2000,151,231,237,0,0
25/01/2000,114,174,196,0,0
25/01/2000,160,305,297,0,0
29/01/2000,133,218,275,0,0
29/01/2000,161,161,308,0,0
29/01/2000,261,381,447,0,0
29/01/2000,180,229,286,0,0
29/01/2000,349,349,578,0,0
4/02/2000,90,89,116,0,0
4/02/2000,168,503,337,0,0
4/02/2000,214,213,281,0,0
4/02/2000,235,235,504,0,0
4/02/2000,195,193,265,0,0
7/02/2000,175,265,298,1,8
7/02/2000,198,198,351,0,0
7/02/2000,272,449,459,0,0
7/02/2000,273,438,471,0,0
7/02/2000,206,231,385,0,0
11/02/2000,248,448,423,0,0
11/02/2000,230,395,433,0,0
11/02/2000,243,323,432,0,0
11/02/2000,280,455,437,0,0
11/02/2000,257,417,449,0,0
27/12/2000,134,329,380,0,0
27/12/2000,92,112,143,0,0
27/12/2000,246,326,451,0,0
27/12/2000,77,76,96,0,0
27/12/2000,256,361,617,0,0
9/01/2001,261,446,603,0,0
9/01/2001,198,346,367,0,0
9/01/2001,186,411,408,0,0
9/01/2001,283,473,509,0,0
9/01/2001,280,530,516,0,0
12/01/2001,258,120,112,138,3820
12/01/2001,48,48,48,0,0
12/01/2001,263,254,309,0,0
12/01/2001,179,229,439,0,0
12/01/2001,239,236,236,0,0
18/01/2001,302,517,275,0,0
18/01/2001,170,345,114,0,0
18/01/2001,166,425,211,0,0
18/01/2001,148,148,214,0,0
18/01/2001,256,256,409,0,0
24/01/2001,180,205,381,0,0
24/01/2001,216,275,251,0,0
24/01/2001,204,176,219,88,1232
24/01/2001,188,283,214,0,0
24/01/2001,141,140,167,0,0
30/01/2001,316,621,781,0,0
30/01/2001,267,104,101,313,2504
30/01/2001,516,706,548,0,0
30/01/2001,193,8,11,348,2784
30/01/2001,298,508,334,0,0
3/02/2001,100,94,98,1,6
3/02/2001,226,200,417,24,208
3/02/2001,154,146,140,120,790
3/02/2001,75,380,94,1,8
3/02/2001,198,392,892,0,0
10/02/2001,326,636,926,0,0
10/02/2001,223,542,326,0,0
10/02/2001,176,315,223,0,0
10/02/2001,241,238,740,0,0
10/02/2001,146,846,135,0,0
15/02/2001,275,425,403,0,0
15/02/2001,314,618,356,0,0
15/02/2001,173,334,194,0,0
15/02/2001,240,288,351,0,0
15/02/2001,302,352,384,0,0
5/12/2001,37,47,112,0,0
5/12/2001,74,85,288,0,0
5/12/2001,0,0,0,0,0
5/12/2001,33,33,64,0,0
28/12/2001,262,296,636,0,0
28/12/2001,151,146,211,0,0
28/12/2001,115,185,228,0,0
28/12/2001,30,17,34,0,0
28/12/2001,126,137,216,0,0
7/01/2002,0,0,0,0,0
7/01/2002,368,368,1147,0,0
7/01/2002,241,295,874,0,0
7/01/2002,167,223,485,0,0
7/01/2002,170,330,680,0,0
15/01/2002,226,225,1374,0,0
15/01/2002,197,442,847,0,0
15/01/2002,115,225,164,0,0
15/01/2002,365,363,747,0,0
15/01/2002,323,372,1002,0,0
21/01/2002,85,356,117,0,0
