study_name,time,sample_number,total_krill_abundance,krill_abundance_16mm_to_20mm,krill_abundance_21mm_to_25mm,krill_abundance_26mm_to_30mm,krill_abundance_31mm_to_35mm,krill_abundance_36mm_to_40mm,krill_abundance_41mm_to_45mm,krill_abundance_46mm_to_50mm,krill_abundance_51mm_to_55mm,krill_abundance_56mm_to_60mm,krill_abundance_61mm_to_65mm
PAL9394,1994-01-21T00:00:00Z,27479,55,0,0,0,1,14,28,11,1,0,0
PAL9394,1994-01-26T00:00:00Z,27480,58,0,0,0,3,27,19,9,0,0,0
PAL9394,1994-01-26T00:00:00Z,27481,55,0,0,0,0,8,26,20,1,0,0
PAL9394,1994-01-26T00:00:00Z,27482,51,0,0,0,0,17,32,2,0,0,0
PAL9394,1994-01-26T00:00:00Z,27483,59,0,0,0,0,14,36,9,0,0,0
PAL9394,1994-01-26T00:00:00Z,27484,50,0,0,0,3,30,16,1,0,0,0
PAL9394,1994-02-01T00:00:00Z,27485,50,0,0,0,0,10,29,11,0,0,0
PAL9394,1994-02-01T00:00:00Z,27486,74,0,0,0,1,12,35,25,1,0,0
PAL9394,1994-02-01T00:00:00Z,27487,50,0,0,0,0,19,23,8,0,0,0
PAL9394,1994-02-01T00:00:00Z,27488,62,0,0,0,0,5,22,26,9,0,0
PAL9394,1994-02-01T00:00:00Z,27489,51,0,0,0,2,9,29,7,4,0,0
PAL9394,1994-02-07T00:00:00Z,27490,65,0,0,0,0,8,39,14,4,0,0
PAL9394,1994-02-07T00:00:00Z,27491,73,0,0,0,1,24,34,12,2,0,0
PAL9394,1994-02-07T00:00:00Z,27492,50,0,0,0,1,1,30,15,3,0,0
PAL9394,1994-02-07T00:00:00Z,27493,50,0,0,0,2,12,25,11,0,0,0
PAL9394,1994-02-07T00:00:00Z,27494,61,0,0,0,0,6,22,19,14,0,0
PAL9394,1994-02-13T00:00:00Z,27495,51,0,0,0,1,8,26,15,1,0,0
PAL9394,1994-02-13T00:00:00Z,27496,50,0,0,0,2,10,23,11,4,0,0
PAL9394,1994-02-13T00:00:00Z,27497,50,0,0,0,0,9,21,20,0,0,0
PAL9394,1994-02-13T00:00:00Z,27498,51,0,0,0,1,7,19,20,4,0,0
PAL9394,1994-02-13T00:00:00Z,27499,52,0,0,0,0,10,22,18,2,0,0
PAL9394,1994-02-18T00:00:00Z,27500,63,0,0,0,3,21,28,7,4,0,0
PAL9394,1994-02-18T00:00:00Z,27501,50,0,0,0,2,13,21,13,1,0,0
PAL9394,1994-02-18T00:00:00Z,27502,50,0,0,0,2,9,13,15,11,0,0
PAL9394,1994-02-18T00:00:00Z,27503,52,0,0,0,0,3,30,15,4,0,0
PAL9394,1994-02-18T00:00:00Z,27504,53,0,0,0,0,15,25,11,2,0,0
PAL9495,1995-01-11T00:00:00Z,28465,59,0,0,0,0,7,35,17,0,0,0
PAL9495,1995-01-11T00:00:00Z,28466,6,0,0,0,0,2,4,0,0,0,0
PAL9495,1995-01-11T00:00:00Z,28467,26,0,0,0,1,4,17,4,0,0,0
PAL9495,1995-01-11T00:00:00Z,28468,59,0,0,0,3,18,29,9,0,0,0
PAL9495,1995-01-11T00:00:00Z,28469,50,0,0,3,11,24,12,0,0,0,0
PAL9495,1995-01-17T00:00:00Z,28470,51,0,0,4,9,21,13,4,0,0,0
PAL9495,1995-01-17T00:00:00Z,28471,13,0,0,0,1,5,7,0,0,0,0
PAL9495,1995-01-17T00:00:00Z,28472,57,0,0,4,2,14,27,10,0,0,0
PAL9495,1995-01-17T00:00:00Z,28473,28,0,0,0,0,0,11,17,0,0,0
PAL9495,1995-01-17T00:00:00Z,28474,71,0,1,1,2,17,27,22,1,0,0
PAL9495,1995-01-22T00:00:00Z,28475,27,0,0,0,0,3,9,15,0,0,0
PAL9495,1995-01-22T00:00:00Z,28476,59,0,0,0,1,8,33,16,1,0,0
PAL9495,1995-01-22T00:00:00Z,28477,52,0,0,0,3,9,26,13,1,0,0
PAL9495,1995-01-22T00:00:00Z,28478,52,0,0,0,0,8,24,17,3,0,0
PAL9495,1995-01-22T00:00:00Z,28479,51,0,0,0,4,12,17,18,0,0,0
