study_name,time,island_name,colony_code,sample_number,organism_weight,sex,dorsal_ridge_length,dorsal_ridge_depth
,UTC,,,,gram,,mm,mm
PAL9798,1998-02-10T18:00:00Z,TOR,23,97039.0,4000.0,F,36.2,17.6
PAL9798,1998-02-10T18:00:00Z,TOR,23,97040.0,3900.0,F,37.1,17.2
PAL9798,1998-02-15T18:00:00Z,TOR,23,97041.0,3850.0,F,37.1,18.1
PAL9798,1998-02-15T18:00:00Z,TOR,23,97042.0,4200.0,M,40.0,18.2
PAL9798,1998-02-15T18:00:00Z,TOR,23,97043.0,3750.0,F,35.3,16.0
PAL9798,1998-02-15T18:00:00Z,TOR,23,97044.0,4050.0,F,37.9,17.4
PAL9798,1998-02-15T18:00:00Z,TOR,23,97045.0,4600.0,M,39.5,17.1
PAL9798,1998-02-20T17:00:00Z,TOR,23,97046.0,5500.0,M,39.5,17.8
PAL9798,1998-02-20T17:00:00Z,TOR,23,97047.0,5000.0,M,39.4,19.6
PAL9798,1998-02-20T17:00:00Z,TOR,23,97048.0,4450.0,F,38.5,19.0
PAL9798,1998-02-20T17:00:00Z,TOR,23,97049.0,4900.0,M,42.5,20.2
PAL9798,1998-02-20T17:00:00Z,TOR,23,97050.0,4050.0,F,38.0,18.1
PAL9899,1999-01-06T19:30:00Z,TOR,23,98001.0,4550.0,F,33.5,17.5
PAL9899,1999-01-06T19:30:00Z,TOR,23,98002.0,3850.0,F,37.4,17.4
PAL9899,1999-01-06T19:30:00Z,TOR,23,98003.0,4050.0,F,37.2,18.1
PAL9899,1999-01-06T19:30:00Z,TOR,23,98004.0,4400.0,F,38.0,18.1
PAL9899,1999-01-06T19:30:00Z,TOR,23,98005.0,4300.0,M,38.0,19.6
PAL9899,1999-01-11T20:00:00Z,TOR,23,98006.0,4300.0,F,36.5,17.5
PAL9899,1999-01-11T20:00:00Z,TOR,23,98007.0,3550.0,F,36.9,16.8
PAL9899,1999-01-11T20:00:00Z,TOR,23,98008.0,3700.0,F,36.9,17.3
PAL9899,1999-01-11T20:00:00Z,TOR,23,98009.0,3850.0,F,36.7,16.0
PAL9899,1999-01-11T20:00:00Z,TOR,23,98010.0,4150.0,M,37.7,18.0
PAL9899,1999-01-16T20:00:00Z,TOR,23,98011.0,3750.0,F,36.2,17.0
PAL9899,1999-01-16T20:00:00Z,TOR,23,98012.0,4050.0,F,32.7,17.7
PAL9899,1999-01-16T20:00:00Z,TOR,23,98013.0,4650.0,M,42.3,17.6
PAL9899,1999-01-16T20:00:00Z,TOR,23,98014.0,4200.0,M,40.2,16.1
PAL9899,1999-01-16T20:00:00Z,TOR,23,98015.0,4050.0,F,34.5,17.3
PAL9899,1999-01-21T17:30:00Z,TOR,23,98016.0,4000.0,F,35.2,16.7
PAL9899,1999-01-21T17:30:00Z,TOR,23,98017.0,5500.0,M,37.7,17.4
PAL9899,1999-01-21T17:30:00Z,TOR,23,98018.0,3800.0,F,35.0,17.5
