time,island_name,colony_code,num_breeding_pairs,num_chicks
25/01/1997,COR,1,4,3
25/01/1997,COR,2,39,103
25/01/1997,COR,3,39,48
25/01/1997,COR,4,4,4
25/01/1997,COR,5,211,385
25/01/1997,COR,5.1,91,174
25/01/1997,COR,6,58,85
25/01/1997,HUM,1.1,0,0
25/01/1997,HUM,1.2,2,3
25/01/1997,HUM,1.3,0,0
25/01/1997,HUM,2.1,38,107
25/01/1997,HUM,2.2,8,91
25/01/1997,HUM,3,54,326
25/01/1997,HUM,3.1,6,3
25/01/1997,HUM,4,31,188
25/01/1997,HUM,5,85,345
25/01/1997,LIT,1,11,6
25/01/1997,LIT,2,19,23
25/01/1997,LIT,3,0,0
25/01/1997,LIT,4,8,21
25/01/1997,LIT,5,45,82
25/01/1997,LIT,6,50,105
25/01/1997,LIT,7,42,55
25/01/1997,LIT,8,19,147
25/01/1997,LIT,9,25,27
25/01/1997,TOR,1,41,75
25/01/1997,TOR,2,6,4
25/01/1997,TOR,3,3,4
25/01/1997,TOR,4,113,188
25/01/1997,TOR,5,41,73
25/01/1997,TOR,12,89,271
25/01/1997,TOR,13,83,212
25/01/1997,TOR,15,54,139
25/01/1997,TOR,17,3,7
25/01/1997,TOR,18,82,327
25/01/1997,TOR,19,198,608
25/01/1997,TOR,20,81,207
25/01/1997,TOR,21,30,98
25/01/1997,TOR,22,23,42
25/01/1997,TOR,23,73,216
25/01/1997,TOR,23.1,14,4
29/01/1997,LIT,8,70,161
29/01/1997,LIT,9,28,22
29/01/1998,LIT,1,6,12
29/01/1998,LIT,2,19,19
29/01/1998,LIT,3,0,0
29/01/1998,LIT,4,33,49
29/01/1998,LIT,5,34,84
29/01/1998,LIT,6,58,114
29/01/1998,LIT,7,50,50
30/01/1998,HUM,1.1,0,0
30/01/1998,HUM,1.2,0,0
30/01/1998,HUM,1.3,0,0
30/01/1998,HUM,2.1,145,170
30/01/1998,HUM,2.2,42,70
30/01/1998,HUM,3,145,335
30/01/1998,HUM,3.1,4,1
30/01/1998,HUM,4,77,141
30/01/1998,HUM,5,172,342
30/01/1998,TOR,1,75,74
30/01/1998,TOR,2,0,0
30/01/1998,TOR,3,7,2
30/01/1998,TOR,4,141,173
30/01/1998,TOR,5,64,58
30/01/1998,TOR,12,163,256
30/01/1998,TOR,13,172,167
30/01/1998,TOR,15,99,140
30/01/1998,TOR,17,7,3
30/01/1998,TOR,18,134,314
30/01/1998,TOR,19,267,590
30/01/1998,TOR,20,205,196
30/01/1998,TOR,21,41,86
30/01/1998,TOR,22,29,30
30/01/1998,TOR,23,150,220
30/01/1998,TOR,23.1,15,4
3/02/1998,CHR,1,109,231
3/02/1998,CHR,2,48,62
3/02/1998,CHR,3,33,79
3/02/1998,CHR,3.1,19,44
3/02/1998,CHR,4.1,2,5
3/02/1998,CHR,5,25,49
3/02/1998,CHR,6,82,118
3/02/1998,CHR,7,202,354
3/02/1998,CHR,7.1,14,14
3/02/1998,CHR,7.2,41,60
3/02/1998,CHR,8,119,167
3/02/1998,CHR,9.1,28,43
3/02/1998,CHR,10,5,7
3/02/1998,CHR,11,0,0
3/02/1998,COR,1,2,2
3/02/1998,COR,2,61,105
3/02/1998,COR,3,28,51
3/02/1998,COR,4,3,3
3/02/1998,COR,5,257,280
3/02/1998,COR,5.1,100,134
3/02/1998,COR,6,64,69
23/01/1999,CHR,1,167,193
23/01/1999,CHR,2,37,57
23/01/1999,CHR,3,52,77
23/01/1999,CHR,3.1,40,43
23/01/1999,CHR,4.1,1,2
23/01/1999,CHR,5,38,36
23/01/1999,CHR,6,99,135
23/01/1999,CHR,7,199,355
23/01/1999,CHR,7.1,15,17
23/01/1999,CHR,7.2,56,85
23/01/1999,CHR,8,135,177
23/01/1999,CHR,9.1,38,50
23/01/1999,CHR,10,7,6
23/01/1999,CHR,11,2,1
23/01/1999,COR,1,0,0
23/01/1999,COR,2,87,112
23/01/1999,COR,3,47,60
23/01/1999,COR,4,0,0
23/01/1999,COR,5,275,367
23/01/1999,COR,5.1,94,160
23/01/1999,COR,6,63,56
24/01/1999,HUM,1.1,0,0
24/01/1999,HUM,1.2,0,0
24/01/1999,HUM,1.3,0,0
24/01/1999,HUM,2.1,75,144
24/01/1999,HUM,2.2,51,83
24/01/1999,HUM,3,68,358
24/01/1999,HUM,3.1,0,0
24/01/1999,HUM,4,46,132
24/01/1999,HUM,5,72,300
24/01/1999,LIT,1,7,1
24/01/1999,LIT,2,18,7
24/01/1999,LIT,3,0,0
24/01/1999,LIT,4,16,3
24/01/1999,LIT,5,39,62
24/01/1999,LIT,6,49,112
24/01/1999,LIT,7,31,45
24/01/1999,LIT,8,65,163
24/01/1999,LIT,9,23,29
24/01/1999,TOR,1,46,37
24/01/1999,TOR,2,0,0
24/01/1999,TOR,3,0,0
24/01/1999,TOR,4,96,115
24/01/1999,TOR,5,32,29
24/01/1999,TOR,12,93,225
24/01/1999,TOR,13,80,161
24/01/1999,TOR,15,45,132
24/01/1999,TOR,17,2,3
24/01/1999,TOR,18,85,329
24/01/1999,TOR,19,178,610
24/01/1999,TOR,20,83,196
24/01/1999,TOR,21,28,34
24/01/1999,TOR,22,10,10
24/01/1999,TOR,23,87,194
24/01/1999,TOR,23.1,0,0
25/01/2000,HUM,1.1,0,0
25/01/2000,HUM,1.2,0,0
25/01/2000,HUM,1.3,0,0
25/01/2000,HUM,2.1,102,120
25/01/2000,HUM,2.2,51,78
25/01/2000,HUM,3,121,307
25/01/2000,HUM,3.1,0,0
25/01/2000,HUM,4,54,117
25/01/2000,HUM,5,123,194
25/01/2000,LIT,1,7,1
25/01/2000,LIT,2,15,9
25/01/2000,LIT,3,0,0
25/01/2000,LIT,4,10,1
25/01/2000,LIT,5,69,28
25/01/2000,LIT,6,95,48
25/01/2000,LIT,7,48,30
25/01/2000,LIT,8,135,150
25/01/2000,LIT,9,30,23
25/01/2000,TOR,1,42,23
25/01/2000,TOR,2,0,0
25/01/2000,TOR,3,0,0
25/01/2000,TOR,4,84,107
25/01/2000,TOR,5,23,30
25/01/2000,TOR,12,116,207
25/01/2000,TOR,13,94,136
25/01/2000,TOR,15,55,151
25/01/2000,TOR,17,0,0
25/01/2000,TOR,18,80,255
25/01/2000,TOR,19,163,643
25/01/2000,TOR,20,96,186
