study_name,time,sample_number,source,prey_type,species_code,evidence_code,num_fish,evidence_size,evidence_weight,estimated_fish_length,estimated_fish_weight,notes
PAL0001,2001-01-30T00:00:00Z,27,STOM,FISH,UNKN,FLESH,1,0.0,5,0,0,NaN
PAL0001,2001-01-30T00:00:00Z,29,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL0001,2001-02-03T00:00:00Z,31,STOM,FISH,UNKN,FLESH,1,0.0,3,0,0,NaN
PAL0001,2001-02-03T00:00:00Z,32,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL0001,2001-02-03T00:00:00Z,33,STOM,FISH,UNKN,FLESH,1,0.0,4,0,0,NaN
PAL0001,2001-02-03T00:00:00Z,34,STOM,FISH,UNKN,FLESH,1,0.0,3,0,0,NaN
PAL0001,2001-02-03T00:00:00Z,35,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL0001,2001-02-10T00:00:00Z,36,STOM,FISH,ELAN,SPECIMEN,1,0.0,5,56,0,NaN
PAL0001,2001-02-10T00:00:00Z,37,STOM,FISH,UNKN,SKULL,1,0.0,1,0,0,NaN
PAL0001,2001-02-10T00:00:00Z,39,STOM,FISH,UNKN,SKULL,1,0.0,3,0,0,NaN
PAL0001,2001-02-15T00:00:00Z,42,STOM,FISH,UNKN,FLSH OTO,1,0.0,1,0,0,NaN
PAL0001,2001-02-15T00:00:00Z,43,STOM,FISH,ELAN,SKULL,1,0.0,4,0,0,NaN
PAL0001,2001-02-15T00:00:00Z,44,STOM,FISH,UNKN,FLSHSCAL,1,0.0,1,0,0,NaN
PAL0102,2001-12-28T00:00:00Z,1005,STOM,FISH,UNKN,SKULL,1,0.0,6,0,0,NaN
PAL0102,2001-12-28T00:00:00Z,1006,STOM,FISH,UNKN,FLESH,1,0.0,5,0,0,NaN
PAL0102,2001-12-28T00:00:00Z,1007,STOM,FISH,UNKN,FLESH,2,0.0,10,0,0,NaN
PAL0102,2001-12-28T00:00:00Z,1008,STOM,FISH,UNKN,OTOLITH,1,0.0,5,0,0,NaN
PAL0102,2001-12-28T00:00:00Z,1009,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
