study_name,time,island_name,colony_code,num_breeding_pairs,num_chicks,census_time
,UTC,,,,,
PAL9495,1995-01-16T00:00:00Z,TOR,23.0,131,268,1430
PAL9495,1995-01-16T00:00:00Z,TOR,23.1,20,31,1430
PAL9495,1995-01-17T00:00:00Z,CHR,1.0,156,267,1200
PAL9495,1995-01-17T00:00:00Z,CHR,2.0,53,84,1200
PAL9495,1995-01-17T00:00:00Z,CHR,3.0,97,168,1200
PAL9495,1995-01-17T00:00:00Z,CHR,3.1,0,0,
PAL9495,1995-01-17T00:00:00Z,CHR,4.1,16,19,1200
PAL9495,1995-01-17T00:00:00Z,CHR,5.0,50,50,1200
PAL9495,1995-01-17T00:00:00Z,CHR,6.0,106,160,1200
PAL9495,1995-01-17T00:00:00Z,CHR,7.0,242,435,1200
PAL9495,1995-01-17T00:00:00Z,CHR,7.1,26,33,1200
PAL9495,1995-01-17T00:00:00Z,CHR,7.2,53,100,1200
PAL9495,1995-01-17T00:00:00Z,CHR,8.0,141,234,1200
PAL9495,1995-01-17T00:00:00Z,CHR,9.1,29,49,1200
PAL9495,1995-01-17T00:00:00Z,CHR,10.0,13,13,1200
PAL9495,1995-01-17T00:00:00Z,CHR,11.0,4,3,1200
PAL9495,1995-01-17T00:00:00Z,COR,1.0,8,10,1000
PAL9495,1995-01-17T00:00:00Z,COR,2.0,71,108,1000
PAL9495,1995-01-17T00:00:00Z,COR,3.0,39,46,1000
PAL9495,1995-01-17T00:00:00Z,COR,4.0,15,21,1000
PAL9495,1995-01-17T00:00:00Z,COR,5.0,294,404,1000
PAL9495,1995-01-17T00:00:00Z,COR,5.1,117,190,1000
PAL9495,1995-01-17T00:00:00Z,COR,6.0,76,117,1000
PAL9495,1995-01-17T00:00:00Z,LIT,1.0,8,12,1200
PAL9495,1995-01-17T00:00:00Z,LIT,2.0,28,24,1200
PAL9495,1995-01-17T00:00:00Z,LIT,3.0,0,0,1200
PAL9495,1995-01-17T00:00:00Z,LIT,4.0,19,12,1200
PAL9495,1995-01-17T00:00:00Z,LIT,5.0,71,77,1200
PAL9495,1995-01-17T00:00:00Z,LIT,6.0,76,111,1200
PAL9495,1995-01-17T00:00:00Z,LIT,7.0,58,73,1200
PAL9495,1995-01-17T00:00:00Z,LIT,8.0,95,162,1200
PAL9495,1995-01-17T00:00:00Z,LIT,9.0,32,29,1200
PAL9596,1996-01-18T00:00:00Z,CHR,1.0,225,310,1300
PAL9596,1996-01-18T00:00:00Z,CHR,2.0,50,90,1300
PAL9596,1996-01-18T00:00:00Z,CHR,3.0,20,69,1300
PAL9596,1996-01-18T00:00:00Z,CHR,3.1,40,92,1300
PAL9596,1996-01-18T00:00:00Z,CHR,4.1,2,2,1300
PAL9596,1996-01-18T00:00:00Z,CHR,5.0,7,58,1300
PAL9596,1996-01-18T00:00:00Z,CHR,6.0,57,168,1300
PAL9596,1996-01-18T00:00:00Z,CHR,7.0,142,470,1300
PAL9596,1996-01-18T00:00:00Z,CHR,7.1,17,30,1300
PAL9596,1996-01-18T00:00:00Z,CHR,7.2,28,99,1300
PAL9596,1996-01-18T00:00:00Z,CHR,8.0,83,229,1300
PAL9596,1996-01-18T00:00:00Z,CHR,9.1,20,55,1300
PAL9596,1996-01-18T00:00:00Z,CHR,10.0,4,10,1300
PAL9596,1996-01-18T00:00:00Z,CHR,11.0,4,4,1300
PAL9596,1996-01-18T00:00:00Z,COR,1.0,5,8,1100
PAL9596,1996-01-18T00:00:00Z,COR,2.0,36,113,1100
PAL9596,1996-01-18T00:00:00Z,COR,3.0,28,54,1100
PAL9596,1996-01-18T00:00:00Z,COR,4.0,11,25,1100
PAL9596,1996-01-18T00:00:00Z,COR,5.0,143,399,1100
PAL9596,1996-01-18T00:00:00Z,COR,5.1,68,187,1100
PAL9596,1996-01-18T00:00:00Z,COR,6.0,44,102,1100
PAL9596,1996-01-18T00:00:00Z,HUM,1.1,5,4,1600
PAL9596,1996-01-18T00:00:00Z,HUM,1.2,6,26,1600
PAL9596,1996-01-18T00:00:00Z,HUM,1.3,0,0,1600
PAL9596,1996-01-18T00:00:00Z,HUM,2.1,15,169,1600
PAL9596,1996-01-18T00:00:00Z,HUM,2.2,11,98,1600
PAL9596,1996-01-18T00:00:00Z,HUM,3.0,60,415,1600
PAL9596,1996-01-18T00:00:00Z,HUM,3.1,0,0,1600
PAL9596,1996-01-18T00:00:00Z,HUM,4.0,56,205,1600
PAL9596,1996-01-18T00:00:00Z,HUM,5.0,75,426,1600
PAL9596,1996-01-18T00:00:00Z,TOR,1.0,68,141,1700
PAL9596,1996-01-18T00:00:00Z,TOR,2.0,17,40,1700
PAL9596,1996-01-18T00:00:00Z,TOR,3.0,21,11,1700
PAL9596,1996-01-18T00:00:00Z,TOR,4.0,102,279,1700
PAL9596,1996-01-18T00:00:00Z,TOR,5.0,35,108,1700
PAL9596,1996-01-18T00:00:00Z,TOR,12.0,81,275,1700
PAL9596,1996-01-18T00:00:00Z,TOR,13.0,101,288,1700
PAL9596,1996-01-18T00:00:00Z,TOR,15.0,55,223,1700
PAL9596,1996-01-18T00:00:00Z,TOR,17.0,2,17,1700
PAL9596,1996-01-18T00:00:00Z,TOR,18.0,118,350,1700
PAL9596,1996-01-18T00:00:00Z,TOR,19.0,150,713,1700
PAL9596,1996-01-18T00:00:00Z,TOR,20.0,82,246,1700
PAL9596,1996-01-18T00:00:00Z,TOR,21.0,34,146,1700
PAL9596,1996-01-18T00:00:00Z,TOR,22.0,51,85,1700
PAL9596,1996-01-18T00:00:00Z,TOR,23.0,122,233,1700
PAL9596,1996-01-18T00:00:00Z,TOR,23.1,3,27,1700
PAL9596,1996-01-20T00:00:00Z,LIT,1.0,6,14,1100
PAL9596,1996-01-20T00:00:00Z,LIT,2.0,18,29,1100
PAL9596,1996-01-20T00:00:00Z,LIT,3.0,0,0,
PAL9596,1996-01-20T00:00:00Z,LIT,4.0,12,29,1100
PAL9596,1996-01-20T00:00:00Z,LIT,5.0,26,102,1100
PAL9596,1996-01-20T00:00:00Z,LIT,6.0,44,148,1100
PAL9596,1996-01-20T00:00:00Z,LIT,7.0,27,71,1100
PAL9596,1996-01-20T00:00:00Z,LIT,8.0,35,141,1100
PAL9596,1996-01-20T00:00:00Z,LIT,9.0,25,31,1100
PAL9697,1997-01-25T00:00:00Z,CHR,1.0,103,252,1100
PAL9697,1997-01-25T00:00:00Z,CHR,2.0,34,70,1100
PAL9697,1997-01-25T00:00:00Z,CHR,3.0,31,82,1100
PAL9697,1997-01-25T00:00:00Z,CHR,3.1,33,54,1100
PAL9697,1997-01-25T00:00:00Z,CHR,4.1,4,6,1100
PAL9697,1997-01-25T00:00:00Z,CHR,5.0,25,52,1100
PAL9697,1997-01-25T00:00:00Z,CHR,6.0,55,142,1100
PAL9697,1997-01-25T00:00:00Z,CHR,7.0,114,404,1100
PAL9697,1997-01-25T00:00:00Z,CHR,7.1,14,24,1100
PAL9697,1997-01-25T00:00:00Z,CHR,7.2,39,67,1100
PAL9697,1997-01-25T00:00:00Z,CHR,8.0,92,208,1100
PAL9697,1997-01-25T00:00:00Z,CHR,9.1,22,49,1100
PAL9697,1997-01-25T00:00:00Z,CHR,10.0,4,10,1100
PAL9697,1997-01-25T00:00:00Z,CHR,11.0,4,2,1100
PAL9697,1997-01-25T00:00:00Z,COR,1.0,4,3,1000
PAL9697,1997-01-25T00:00:00Z,COR,2.0,39,103,1000
PAL9697,1997-01-25T00:00:00Z,COR,3.0,39,48,1000
PAL9697,1997-01-25T00:00:00Z,COR,4.0,4,4,1000
PAL9697,1997-01-25T00:00:00Z,COR,5.0,211,385,1000
PAL9697,1997-01-25T00:00:00Z,COR,5.1,91,174,1000
PAL9697,1997-01-25T00:00:00Z,COR,6.0,58,85,1000
PAL9697,1997-01-25T00:00:00Z,HUM,1.1,0,0,1300
PAL9697,1997-01-25T00:00:00Z,HUM,1.2,2,3,1300
PAL9697,1997-01-25T00:00:00Z,HUM,1.3,0,0,1300
PAL9697,1997-01-25T00:00:00Z,HUM,2.1,38,107,1300
PAL9697,1997-01-25T00:00:00Z,HUM,2.2,8,91,1300
PAL9697,1997-01-25T00:00:00Z,HUM,3.0,54,326,1300
PAL9697,1997-01-25T00:00:00Z,HUM,3.1,6,3,1300
PAL9697,1997-01-25T00:00:00Z,HUM,4.0,31,188,1300
PAL9697,1997-01-25T00:00:00Z,HUM,5.0,85,345,1300
PAL9697,1997-01-25T00:00:00Z,LIT,1.0,11,6,1200
PAL9697,1997-01-25T00:00:00Z,LIT,2.0,19,23,1200
PAL9697,1997-01-25T00:00:00Z,LIT,3.0,0,0,
PAL9697,1997-01-25T00:00:00Z,LIT,4.0,8,21,1200
PAL9697,1997-01-25T00:00:00Z,LIT,5.0,45,82,1200
PAL9697,1997-01-25T00:00:00Z,LIT,6.0,50,105,1200
PAL9697,1997-01-25T00:00:00Z,LIT,7.0,42,55,1200
PAL9697,1997-01-25T00:00:00Z,LIT,8.0,19,147,1200
PAL9697,1997-01-25T00:00:00Z,LIT,9.0,25,27,1200
PAL9697,1997-01-25T00:00:00Z,TOR,1.0,41,75,1500
PAL9697,1997-01-25T00:00:00Z,TOR,2.0,6,4,1500
PAL9697,1997-01-25T00:00:00Z,TOR,3.0,3,4,1500
PAL9697,1997-01-25T00:00:00Z,TOR,4.0,113,188,1500
PAL9697,1997-01-25T00:00:00Z,TOR,5.0,41,73,1500
PAL9697,1997-01-25T00:00:00Z,TOR,12.0,89,271,1500
PAL9697,1997-01-25T00:00:00Z,TOR,13.0,83,212,1500
PAL9697,1997-01-25T00:00:00Z,TOR,15.0,54,139,1500
PAL9697,1997-01-25T00:00:00Z,TOR,17.0,3,7,1500
PAL9697,1997-01-25T00:00:00Z,TOR,18.0,82,327,1500
PAL9697,1997-01-25T00:00:00Z,TOR,19.0,198,608,1500
PAL9697,1997-01-25T00:00:00Z,TOR,20.0,81,207,1500
PAL9697,1997-01-25T00:00:00Z,TOR,21.0,30,98,1500
PAL9697,1997-01-25T00:00:00Z,TOR,22.0,23,42,1500
PAL9697,1997-01-25T00:00:00Z,TOR,23.0,73,216,1500
PAL9697,1997-01-25T00:00:00Z,TOR,23.1,14,4,1500
PAL9798,1997-01-29T00:00:00Z,LIT,8.0,70,161,1400
PAL9798,1997-01-29T00:00:00Z,LIT,9.0,28,22,1400
PAL9798,1998-01-29T00:00:00Z,LIT,1.0,6,12,1400
PAL9798,1998-01-29T00:00:00Z,LIT,2.0,19,19,1400
PAL9798,1998-01-29T00:00:00Z,LIT,3.0,0,0,
PAL9798,1998-01-29T00:00:00Z,LIT,4.0,33,49,1400
PAL9798,1998-01-29T00:00:00Z,LIT,5.0,34,84,1400
PAL9798,1998-01-29T00:00:00Z,LIT,6.0,58,114,1400
PAL9798,1998-01-29T00:00:00Z,LIT,7.0,50,50,1400
PAL9798,1998-01-30T00:00:00Z,HUM,1.1,0,0,1000
PAL9798,1998-01-30T00:00:00Z,HUM,1.2,0,0,1000
PAL9798,1998-01-30T00:00:00Z,HUM,1.3,0,0,1000
PAL9798,1998-01-30T00:00:00Z,HUM,2.1,145,170,1000
PAL9798,1998-01-30T00:00:00Z,HUM,2.2,42,70,1000
PAL9798,1998-01-30T00:00:00Z,HUM,3.0,145,335,1000
PAL9798,1998-01-30T00:00:00Z,HUM,3.1,4,1,1000
PAL9798,1998-01-30T00:00:00Z,HUM,4.0,77,141,1000
PAL9798,1998-01-30T00:00:00Z,HUM,5.0,172,342,1000
PAL9798,1998-01-30T00:00:00Z,TOR,1.0,75,74,1200
PAL9798,1998-01-30T00:00:00Z,TOR,2.0,0,0,1200
PAL9798,1998-01-30T00:00:00Z,TOR,3.0,7,2,1200
PAL9798,1998-01-30T00:00:00Z,TOR,4.0,141,173,1200
PAL9798,1998-01-30T00:00:00Z,TOR,5.0,64,58,1200
PAL9798,1998-01-30T00:00:00Z,TOR,12.0,163,256,1200
PAL9798,1998-01-30T00:00:00Z,TOR,13.0,172,167,1200
PAL9798,1998-01-30T00:00:00Z,TOR,15.0,99,140,1200
PAL9798,1998-01-30T00:00:00Z,TOR,17.0,7,3,1200
PAL9798,1998-01-30T00:00:00Z,TOR,18.0,134,314,1200
PAL9798,1998-01-30T00:00:00Z,TOR,19.0,267,590,1200
PAL9798,1998-01-30T00:00:00Z,TOR,20.0,205,196,1200
PAL9798,1998-01-30T00:00:00Z,TOR,21.0,41,86,1200
PAL9798,1998-01-30T00:00:00Z,TOR,22.0,29,30,1200
